127.0.0.1 - - [20/Nov/2023:11:05:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:05:18 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:05:18 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:05:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:05:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:09:07 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:11:07 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:12:04 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:15 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:46 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:14:37 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:59:28 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:56 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:56 +0900] "GET /jwbook/resources/images/dog2.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:07 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:07 +0900] "GET /jwbook/resources/images/dog2.PNG HTTP/1.1" 200 239422
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:32 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:10:02 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:10:02 +0900] "GET /jwbook/js/time.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:10:10 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:10:10 +0900] "GET /jwbook/js/time.js HTTP/1.1" 404 832
